id,title,published_date,year,month,day,num_views,num_likes,length,quality,tags,num_tags
hS4Mso8gvNU,"6 Days Fishing, Camping & Exploring Spain with my Son",2022-10-22 11:00:33+00:00,22,10,Saturday,5816942,53363,1998.0,hd,"['Fishing', 'camping', 'catfishing', 'catfish', 'Spain', 'Ebro', 'Fishing spain', 'Catfishing Spain', 'wels catfish', 'travel video', 'travel spain', 'spain vacation', 'spain adventure', 'things to do in Spain', 'camping spain', 'fishing spain', 'fishing for catfish', 'camping and fishing videos', 'adventure travel', 'camping with kids']",20
G94Ky-ZkTc0,"Hunting Giant Octopus, Fishing & Costal Foraging - 3 Day Camping Catch & Cook Adventure in Alaska",2022-05-14 11:00:06+00:00,22,5,Saturday,6324629,40448,1537.0,hd,"['hunting', 'fishing', 'coastal foraging', 'foraging', 'survival', 'survival food', 'foraging food', 'survival skills', 'fishing catch and cook', 'octopus catch and cook', 'catch clean cook', 'catch clean cook octopus', 'how to catch octopus', 'clam digging', 'camping', 'camping in Alaska', 'survival alaska', 'fishing for flounder', 'salt water fishing', 'beach combing', 'how to cook octopus', 'camping cooking', 'camping skills']",23
8K4YOlOUwO8,Making Fruit Leather from Wild Berries - Foraging Wild Edibles - Autumn Olives,2019-08-25 00:16:36+00:00,19,8,Sunday,743369,7367,826.0,hd,"['Autumn olive', 'Autumn berries', 'eating wild berries', 'eating wild fruit', 'foraging', 'survival food', 'fruit leather', 'making fruit leather', 'making fruit pie', 'autumn olive pie', 'autumn olive fruit leather', 'eating berries', 'edible berries', 'mystery berries', 'foraging berries', 'wild berries']",16
1383h7_HcMs,Fishing for Alligators!!! Catch Clean Cook Alligator,2020-01-25 12:00:00+00:00,20,1,Saturday,5813595,64299,1070.0,hd,"['Alligator', 'gator', 'crocodile', 'fishing', 'catching', 'cooking', 'fishing for alligator', 'alligator fishing', 'catching alligator', 'cooking alligator', 'cleaning alligator', 'hunting', 'hunting alligator', 'catch and cook', 'catch clean cook', 'catch clean cook alligator', 'catch and cook alligator', 'how to cok alligator', 'how to clean alligator', 'gator hunting', 'gator fishing', 'catching alligators with fishing rods', 'Florida gator hunts', 'catch clean cook gator']",24
kCu_cy1i1uw,Found a crashed DC-3 in the rainforests of Alaska     #alaskaadventures #planecrash #camping,2024-05-07 02:36:46+00:00,24,5,Tuesday,552165,23970,32.0,hd,"['Camping', 'winter camping', 'Alaska', 'camping in Alaska', 'cold weather camping', 'hunting', 'duck hunting', 'Hunting Alaska', 'Alaska travel', 'alaska adventure', 'camping with kids', 'Gustavus ALaska', 'gustavus', 'Glacier Bay National Park', 'Glacier Bay ALaska', 'Plane crash', 'hiking', 'fat bike', 'catch and cook', 'hunting catch and cook']",20
bYKWG-Py-sw,5 Years of Funniest Videos & Memes Compilation - Outdoor Boys Videos,2022-06-25 11:00:31+00:00,22,6,Saturday,4169026,30894,1372.0,hd,"['Funny videos', 'skits', 'memes', 'clean memes', 'Outdoor Boys', 'clean videos', 'funny videos', 'family friendly funny videos', 'funny skits', 'clean skits', 'clean comedy', 'family comedy', 'comedy video']",13
2Wu2ryYTWRM,Making a Knife from Rasp - Knife Making for Beginners,2018-02-24 13:10:06+00:00,18,2,Saturday,987961,18787,755.0,hd,"['Knife', 'knife making', 'make knife', 'making a knife', 'knife making for beginners', 'making a knife from file', 'making knife from rasp', ""ferrier's rasp"", 'custom knife', 'making a custom knife from a rasp', 'custom knife from rasp', 'building a knife', 'custom knives', 'making knives', 'creating a custom knife', 'Knife making', 'knife sharpening', 'knife making tutorial']",18
x7Pbv_Y9gwc,Cutest metal band video ever! Baby plays air guitar like a boss!,2015-05-16 21:49:12+00:00,15,5,Saturday,302735,12173,117.0,hd,"['baby air guitar', 'cute baby', 'air guitar like a boss', 'cute baby guitar', 'cute music video']",5
iN3oKOMZnRE,My toddler wants a gun - trip to Cabelas VLOG,2017-03-29 12:07:49+00:00,17,3,Wednesday,167475,2539,213.0,hd,['Todlders with guns'],1
Rijs8dr4raw,Forging Fishing Spears + Hunting Snakeheads in Swamp - Forging Fishing Catch & Cook Challenge,2020-06-06 11:11:03+00:00,20,6,Saturday,8118248,64265,1523.0,hd,"['Forging spear', 'forging fishing spear', 'spear fishing', 'gigging fish', 'gigging', 'snakehead', 'fishing challenge', 'catch and cook', 'catch and cook snakehead', 'catch clean cook', 'making spear', 'making fishing spear', 'forging a gig', 'Snakehead recipe', 'how to cook snakehead', 'fishing', 'fishing for snakehead', 'catching snakehead', 'survival fishing', 'primitive fishing', 'hunting', 'bowfishing', 'bow fishing', 'bow fishing snakehead', 'spear fishing snakehead', 'making fishing spears', 'survival skills']",27
q5elqE21EHk,"18 Day Japan Travel Adventure - Volcanoes, Castles, Fishing & More (Kyushu, Osaka, Kyoto, Hiroshima)",2023-06-17 11:00:38+00:00,23,6,Saturday,13527246,120859,7031.0,hd,"['Travel', 'travel vlog', 'japan', 'japan travel', 'japan travel vlog', 'kyushu', 'osaka', 'kumamoto', 'fukuoka', 'nagasaki', 'hiroshima', 'Osaka', 'kyoto', 'nara', 'nagayo', 'travel video', 'fun travel ideas', 'best japan travel ideas', 'what to do in japan', 'what to see in japan', 'fun things to do in Japan']",21
wcDFgir_jgY,Dugout Shelter Under 10ft (3m) of Snow - Solo Camping in Survival Shelter During Snow Storm,2023-04-08 11:00:42+00:00,23,4,Saturday,70139983,720652,1284.0,hd,"['survival shelter', 'dugout', 'dugout shelter', 'dugout shelter winter', 'winter survival shelter', 'camping', 'solo camping', 'solo winter camping', 'camping ASMR', 'asmr', 'survival camping', 'Survival', 'wilderness survival', 'snow cave camping', 'snow cave', 'quinzee', 'igloo', 'winter shelter', 'camping in snow storm', 'camping in blizzard', 'camping in snow', 'snow camping', 'cold weather camping', 'extreme survival camping', 'bushcraft', 'bushcraft camping', 'camping in dugout', 'dugout shelter build', 'building survival shelter']",29
Azvc28Mjgy8,Bushcraft Log Cabin Camping in Rain Storm - Repairing and upgrading my survival shelter with my son,2021-09-25 11:00:11+00:00,21,9,Saturday,2229890,45379,1267.0,hd,"['Camping', 'bushcraft', 'log cabin', 'Survival', 'survival shelter', 'campfire cooking', 'camping with kids', 'camping in log cabin', 'building log cabin', 'bushcraft log cabin', 'building survival shelter', 'camping in survival shelter', 'camping in rain', 'primitive survival shelter', 'primitive log cabin', 'survival camping skills', 'extreme camping', 'building a log cabin', 'handmade log cabin']",19
noGtvQalH7A,Favorite Camping Breakfast - Fried Spam & Egg Sand which,2019-10-23 12:01:03+00:00,19,10,Wednesday,82088,1782,90.0,hd,"['Camping', 'cooking', 'campfire recipe', 'camping recipe', 'best camping recipe', 'best recipes', 'campfire cooking', 'campfire cooking recipe', 'recipes', 'camping trip', 'camping tips', 'primitive cooking', 'fire cooking', 'cooking over fire', 'backing meals', 'backpacking recipes', 'Spam', 'spam and eggs', 'spam and egg sand which', 'sandwhich', 'breakfast sandwhich', 'how to make a spam and egg sandwhich', 'camping breakfast', 'favorite camping meals', 'favorite camping breakfast', 'fried spam']",26
zhyuEz-Yo4o,Kayak sledding snow day!! 300' of bungee cord + Kayak = kayak slingshot.,2017-04-08 11:09:54+00:00,17,4,Saturday,357467,4119,595.0,hd,"['Kayak', 'kayak sledding', 'snow day', 'sling shot', 'kayak sling shot', 'outdoor boys', 'Funny snow videos', 'playing in snow', 'snow', 'bungee cord', 'bungee cord projects']",11
dvEzSJkpqo8,Making Cow Horn Mug (Drink like a Viking!) #bushcraftprojects #artofmanliness #outdoorboys,2024-05-02 18:57:32+00:00,24,5,Thursday,1864499,114726,59.0,hd,"['manly', 'manliness', 'art of manliness', 'cow horn mug', 'making a mug', 'making a drinking cup', 'making a cow horn mug', 'cow horn', 'bushcraft', 'bushcraft tools', 'bushcraft projects', 'outdoor boys']",12
Ga7MvmA8qPU,Fishing with the family. Catching carp and fallfish.,2017-05-27 11:00:32+00:00,17,5,Saturday,746891,6416,939.0,hd,"['Fishing', 'fishing with kids', 'fishing with family', 'catching carp', 'fall fish', 'carp', 'fishing for fallfish', 'catching fall fish', 'family trips', 'fun with kids', 'cute video', 'cute kid videos']",12
Ws_8NaoFlR4,Winter Bushcraft Camping with 4 yr Old  #camping #outdoorsurvival #bushcraft,2024-06-16 16:36:30+00:00,24,6,Sunday,508226,36467,60.0,hd,"['Camping', 'survival', 'primitive', 'survival shelter', 'primitive survival shelter', 'winter camping', 'winter survival shelter', 'Winter Survival Camping', 'Primitive Survival Shelter', 'camping Alaska', 'camping with kids', 'survival camping with kids', 'primitive shelter', 'camping in survival shelter', 'how to make survival shelter', 'winter survival']",16
oFTXodcmup8,DIY Nerf Assault Vehicles & NERF WAR!!!    #nerf #nerfwar #nerfgun #powerwheels #dadlife,2024-03-02 21:35:52+00:00,24,3,Saturday,574481,24186,60.0,hd,"['Nerf', 'nerf war', 'nerf battle', 'nerf mods', 'nerf gun', 'nerf gun modification', 'power wheels', 'power wheels mods', 'power wheels upgrades', '24v power wheels modification', 'nerf assault vehicle', 'insane nerf mods', 'electric cars for kids', 'Nerf gun mods', 'nerf blaster', 'nerf rocket', 'power wheel racing', 'power wheels modification', 'power wheels battery upgrade', 'peg perego', 'Nerf Prometheus', 'Nerf lipo mod', 'god hopper', 'go kart', 'go kart racing', 'DIY', 'ride on top cars', 'build projects for kids']",28
grQ6xFDe1X0,Camping on Abandoned Island - Fishing Crabbing & Coastal Foraging (Catch Cook Camp),2020-04-18 11:04:45+00:00,20,4,Saturday,9862194,100158,1582.0,hd,"['Camping', 'foraging', 'survival', 'fishing', 'catch cook', 'catch cook camp', 'coastal foraging', 'crabbing', 'camping on desert island', 'camping on deserted island', 'backcountry camping', 'remote camping', 'wilderness camping', 'bushcraft', 'catching crabs', 'cook crabs', 'camping with kids']",17
n3gsgRlA2C0,My son was born! But there were complications....,2018-01-06 13:03:58+00:00,18,1,Saturday,812946,17460,1206.0,hd,"['delivery complication', 'epideral side effects', 'epideral complications', 'birth complication', 'delivery gone wrong', 'family video', 'new baby', 'baby video', 'baby delivery']",9
aTdPsBLo8C8,CHEAPEST Walmart Gear Camping Challenge + Fossil Hunting Adventure,2020-06-27 12:53:53+00:00,20,6,Saturday,5730959,68914,1249.0,hd,"['Camping', 'Camping with family', 'family camping', 'Take kids camping', 'Fossil hunting', 'Over night', 'adventure', 'camping challenge', 'walmart challenge', 'walmart camping gear', 'camping gear', 'cheap camping gear', 'bargain camping gear', 'beginner camping', 'how to camp', 'Camping essentials', 'Walmart camping tent', 'walmart camping', 'walmart camping challenge', 'Family camping trip', 'family camping essentials', 'Family camping gear', 'family camping setup', 'family camping vlog', 'Overnight challenges']",25
wQutQNDqDhA,Catching Smallmouth Bass on Carp Bait!?!!? - Susquehanna  fishing road trip,2018-07-14 13:09:00+00:00,18,7,Saturday,74163,1515,783.0,hd,"['Small mouth bass', 'smallmouth bass', 'catching small mouth bass', 'fishing for small mouth bass', 'carp fishing', 'carp gear', 'carp rigs', 'fishing for carp on the susquehanna', 'fishing for small mouth bass on the susquehanna', 'fishing', 'road trip', 'fishing susquehanna', 'Catching smallmouth bass on corn', 'bass fishing', 'smallmouth bass fishing', 'carp bait']",16
PwL_Y1XXGWA,Caught an EEL Magnet Fishing with a Crazy Dangerous Magnet!,2019-01-05 12:33:11+00:00,19,1,Saturday,1094163,10062,519.0,hd,"['Magnet fishing', 'treasure hunting', 'catching eel', 'eel fishing', 'Dangerous magnet', '500 lb magnet', 'Neodymium magnet', 'Finding treasure', 'Catching an eel with a magnet']",9
Qv6lo8cEt8k,GIANT Gummy Bear vs Black Smith Forge!!!,2017-06-24 13:22:53+00:00,17,6,Saturday,436639,4069,510.0,hd,"['gummy bear', 'giant gummy bear', ""world's largest gummy bear"", 'forge', 'fire', 'black smith forge', 'gummy bear vs forge', 'gummy bear vs black smith forge', '5lb gummy bear']",9
